Driver,TeamName,finish_pos,points,top10,Status,grid_pos,qual_pos,best_qual_t,delta_to_pole_s,FP1_mean_all_s,FP1_laps,FP1_median_longrun_s,FP2_mean_all_s,FP2_laps,FP2_median_longrun_s,FP3_mean_all_s,FP3_laps,FP3_median_longrun_s,fp_mean_all_s,fp_median_longrun_s,fp_total_laps,year,round,event_name,event_date,group_key
PIA,McLaren,8.0,4.0,1,Finished,16.0,16.0,0 days 00:01:18.517000,1.785,,,,,,,,,,,,,2023,3,Australian Grand Prix,2023-04-02,2023_R3
ZHO,Alfa Romeo,9.0,2.0,1,Finished,17.0,17.0,0 days 00:01:18.540000,1.808,,,,,,,,,,,,,2023,3,Australian Grand Prix,2023-04-02,2023_R3
TSU,AlphaTauri,10.0,1.0,1,Finished,12.0,12.0,0 days 00:01:18.099000,1.367,,,,,,,,,,,,,2023,3,Australian Grand Prix,2023-04-02,2023_R3
BOT,Alfa Romeo,11.0,0.0,0,Finished,19.0,19.0,0 days 00:01:18.714000,1.982,,,,,,,,,,,,,2023,3,Australian Grand Prix,2023-04-02,2023_R3
SAI,Ferrari,12.0,0.0,0,Finished,5.0,5.0,0 days 00:01:17.270000,0.538,,,,,,,,,,,,,2023,3,Australian Grand Prix,2023-04-02,2023_R3
GAS,Alpine,13.0,0.0,0,Finished,9.0,9.0,0 days 00:01:17.574000,0.842,,,,,,,,,,,,,2023,3,Australian Grand Prix,2023-04-02,2023_R3
OCO,Alpine,14.0,0.0,0,Finished,11.0,11.0,0 days 00:01:17.768000,1.036,,,,,,,,,,,,,2023,3,Australian Grand Prix,2023-04-02,2023_R3
DEV,AlphaTauri,15.0,0.0,0,Finished,15.0,15.0,0 days 00:01:18.335000,1.603,,,,,,,,,,,,,2023,3,Australian Grand Prix,2023-04-02,2023_R3
SAR,Williams,16.0,0.0,0,Finished,18.0,18.0,0 days 00:01:18.557000,1.825,,,,,,,,,,,,,2023,3,Australian Grand Prix,2023-04-02,2023_R3
MAG,Haas F1 Team,17.0,0.0,0,Finished,14.0,14.0,0 days 00:01:18.129000,1.397,,,,,,,,,,,,,2023,3,Australian Grand Prix,2023-04-02,2023_R3
RUS,Mercedes,18.0,0.0,0,Retired,2.0,2.0,0 days 00:01:16.968000,0.236,,,,,,,,,,,,,2023,3,Australian Grand Prix,2023-04-02,2023_R3
ALB,Williams,19.0,0.0,0,Retired,8.0,8.0,0 days 00:01:17.609000,0.877,,,,,,,,,,,,,2023,3,Australian Grand Prix,2023-04-02,2023_R3
LEC,Ferrari,20.0,0.0,0,Retired,7.0,7.0,0 days 00:01:17.369000,0.637,,,,,,,,,,,,,2023,3,Australian Grand Prix,2023-04-02,2023_R3
PER,Red Bull Racing,1.0,25.0,1,Finished,3.0,3.0,0 days 00:01:40.495000,0.292,,,,,,,,,,,,,2023,4,Azerbaijan Grand Prix,2023-04-30,2023_R4
VER,Red Bull Racing,2.0,18.0,1,Finished,2.0,2.0,0 days 00:01:40.391000,0.188,,,,,,,,,,,,,2023,4,Azerbaijan Grand Prix,2023-04-30,2023_R4
