Driver,TeamName,finish_pos,points,top10,Status,grid_pos,qual_pos,best_qual_t,delta_to_pole_s,fp_mean_all_s,fp_median_longrun_s,fp_total_laps,year,round,event_name,event_date,group_key
TSU,AlphaTauri,15.0,0.0,0,Lapped,9.0,9.0,0 days 00:01:12.082000,0.717,,,,2023,6,Monaco Grand Prix,2023-05-28,2023_R6
PER,Red Bull Racing,16.0,0.0,0,Lapped,20.0,20.0,0 days 00:01:13.850000,2.485,,,,2023,6,Monaco Grand Prix,2023-05-28,2023_R6
HUL,Haas F1 Team,17.0,0.0,0,Lapped,18.0,18.0,0 days 00:01:13.279000,1.914,,,,2023,6,Monaco Grand Prix,2023-05-28,2023_R6
SAR,Williams,18.0,0.0,0,Lapped,16.0,16.0,0 days 00:01:13.113000,1.748,,,,2023,6,Monaco Grand Prix,2023-05-28,2023_R6
MAG,Haas F1 Team,19.0,0.0,0,Finished,17.0,17.0,0 days 00:01:13.270000,1.905,,,,2023,6,Monaco Grand Prix,2023-05-28,2023_R6
STR,Aston Martin,20.0,0.0,0,Retired,14.0,14.0,0 days 00:01:12.623000,1.258,,,,2023,6,Monaco Grand Prix,2023-05-28,2023_R6
VER,Red Bull Racing,1.0,26.0,1,Finished,1.0,1.0,0 days 00:01:12.272000,0.0,,,,2023,7,Spanish Grand Prix,2023-06-04,2023_R7
HAM,Mercedes,2.0,18.0,1,Finished,4.0,5.0,0 days 00:01:12.818000,0.546,,,,2023,7,Spanish Grand Prix,2023-06-04,2023_R7
RUS,Mercedes,3.0,15.0,1,Finished,12.0,12.0,0 days 00:01:13.326000,1.054,,,,2023,7,Spanish Grand Prix,2023-06-04,2023_R7
PER,Red Bull Racing,4.0,12.0,1,Finished,11.0,11.0,0 days 00:01:13.334000,1.062,,,,2023,7,Spanish Grand Prix,2023-06-04,2023_R7
SAI,Ferrari,5.0,10.0,1,Finished,2.0,2.0,0 days 00:01:12.734000,0.462,,,,2023,7,Spanish Grand Prix,2023-06-04,2023_R7
STR,Aston Martin,6.0,8.0,1,Finished,5.0,6.0,0 days 00:01:12.994000,0.722,,,,2023,7,Spanish Grand Prix,2023-06-04,2023_R7
ALO,Aston Martin,7.0,6.0,1,Finished,8.0,9.0,0 days 00:01:13.098000,0.826,,,,2023,7,Spanish Grand Prix,2023-06-04,2023_R7
OCO,Alpine,8.0,4.0,1,Finished,6.0,7.0,0 days 00:01:13.001000,0.729,,,,2023,7,Spanish Grand Prix,2023-06-04,2023_R7
